BW,Beginner,Novice,Intermediate,Advanced,Elite
50,25,40,59,82,107
55,29,45,65,89,115
60,33,49,70,95,123
65,36,54,76,102,130
70,40,58,81,108,137
75,44,63,86,114,143
80,47,67,91,119,149
85,50,71,96,124,155
90,54,75,100,129,161
95,57,78,104,134,167
100,60,82,109,139,172
105,63,86,113,144,177
110,66,89,117,148,182
115,69,92,121,153,187
120,72,96,124,157,191
125,74,99,128,161,196
130,77,102,132,165,200
135,80,105,135,169,205
140,82,108,138,173,209
